Cidade;Escola;Questao;Resposta;Respondente;AnoDaAvaliacao
ÁGUA CLARA;EE CHICO MENDES;Biblioteca;Sim;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Biblioteca;Sim;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Calendário Escolar;Sim;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Calendário Escolar;Sim;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Caso haja outras informações importantes descreva abaixo;A escola foi orientada pelo SGE a providenciar o livro tombo e realizar o registro dos materiais permanentes.;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Caso haja outras informações importantes descreva abaixo;Nossa escola é contemplada com o Programa Mais Alfabetização, contando com uma assistente, que é profissional formada e já é professora na escola, e com uma assistente que é acadêmica de Pedagogia.;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Colegiado Escolar ou Conselho Escolar;Sim;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Colegiado Escolar ou Conselho Escolar;Sim;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Documentação comprobatória da realização da Avaliação Institucional Interna;Sim;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Documentação comprobatória da realização da Avaliação Institucional Interna;Sim;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Educação em Tempo Integral - Escola da Autoria - Ensino Fundamental;Não;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Educação em Tempo Integral - Escola da Autoria - Ensino Fundamental;Não;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Educação em Tempo Integral - Escola da Autoria - Ensino Médio;Não;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Educação em Tempo Integral - Escola da Autoria - Ensino Médio;Não;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Ensino Médio Inovador/ Integral Integrado;Não;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Ensino Médio Inovador/ Integral Integrado;Não;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Ensino Médio Inovador/Carga horária ampliada para 6º Tempo;Não;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Ensino Médio Inovador/Carga horária ampliada para 6º Tempo;Não;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Essa unidade escolar possui extensão;Não;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Essa unidade escolar possui extensão;Não;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Estudante Público da Educação Especial;Sim;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Estudante Público da Educação Especial;Sim;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Grêmio Estudantil;Sim;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Grêmio Estudantil;Sim;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Laboratório(s) Científico(s);Não;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Laboratório(s) Científico(s);Não;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Laboratório(s) para prática da Educação Profissional;Sim;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Laboratório(s) para prática da Educação Profissional;Sim;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Livro de incineração;Não;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Livro de incineração;Não;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Livro tombo;Não;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Livro tombo;Não;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Mais Educação/Ensino em Tempo Integral - EF;Não;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Mais Educação/Ensino em Tempo Integral - EF;Não;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Missão;;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Missão;Promover de modo sistemático e permanente o aperfeiçoamento dos processos de ensino e aprendizagem que garantam a competência profissional e o exercício efetivo da cidadania dos educados, a fim de resgatar o valor da família e auto-estima daqueles que a esta escola pertencem, contribuindo para que haja uma mudança de atitudes em busca de uma melhor qualidade de vida.;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Organização do arquivo escolar (com a verificação, aleatória, das pastas dos diversos segmentos da escola);;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Organização do arquivo escolar (com a verificação, aleatória, das pastas dos diversos segmentos da escola);Sim;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Plano de Desenvolvimento da Escola;;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Plano de Desenvolvimento da Escola;Sim;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Professores com Formação Superior que atuam em sala de aula;29;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Professores com Formação Superior que atuam em sala de aula;29;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Professores convocados que atuam em sala de aula;23;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Professores convocados que atuam em sala de aula;23;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Professores efetivos que atuam em sala de aula;6;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Professores efetivos que atuam em sala de aula;6;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Professores efetivos readaptados;0;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Professores efetivos readaptados;0;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Professores habilitados para a área que atuam;29;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Professores habilitados para a área que atuam;29;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Professores habilitados para a área que atuam e complementam carga horária fora da área de habilitação;6;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Professores habilitados para a área que atuam e complementam carga horária fora da área de habilitação;6;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Professores não habilitados para a área que atuam;0;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Professores não habilitados para a área que atuam;0;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Professores sem Formação Superior que atuam em sala de aula;0;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Professores sem Formação Superior que atuam em sala de aula;0;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Projeto AJA - Avanço do Jovem na Aprendizagem;Sim;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Projeto AJA - Avanço do Jovem na Aprendizagem;Sim;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Projeto Aprendizagem por Autoria - Ensino Fundamental;Não;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Projeto Aprendizagem por Autoria - Ensino Fundamental;Não;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Projeto Político-Pedagógico / Proposta Pedagógica;Sim;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Projeto Político-Pedagógico / Proposta Pedagógica;Sim;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Quadra de Esportes;Sim;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Quadra de Esportes;Sim;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Quantas extensões;0;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Quantas extensões;0;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Quantos estudantes da escola utilizam o transporte escolar público;93;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Quantos estudantes da escola utilizam o transporte escolar público;93;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Quantos estudantes estão matriculados na(s) extensão(ões);0;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Quantos estudantes estão matriculados na(s) extensão(ões);0;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Referencial Curricular;Sim;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Referencial Curricular;Sim;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Regimento Escolar;Sim;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Regimento Escolar;Sim;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Registros do aproveitamento dos dados coletados na Avaliação Institucional Interna para melhoria dos trabalhos desenvolvidos por todos os segmentos da escola;Sim;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Registros do aproveitamento dos dados coletados na Avaliação Institucional Interna para melhoria dos trabalhos desenvolvidos por todos os segmentos da escola;Sim;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Relatório de Avaliação Institucional Interna;Sim;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Relatório de Avaliação Institucional Interna;Sim;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Sala da Coordenação Pedagógica;Sim;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Sala da Coordenação Pedagógica;Sim;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Sala da Direção;Sim;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Sala da Direção;Sim;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Sala de Apoio Pedagógico (estudantes com transtornos funcionais de aprendizagem);Sim;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Sala de Apoio Pedagógico (estudantes com transtornos funcionais de aprendizagem);Sim;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Sala de Professores;Sim;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Sala de Professores;Sim;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Sala de Recurso Multifuncional;Sim;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Sala de Recurso Multifuncional;Sim;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Sala de Tecnologia/Informática;Sim;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Sala de Tecnologia/Informática;Sim;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Secretaria Escolar;Sim;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Secretaria Escolar;Sim;Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Valores;;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Valores;"São premissas da nossa Escola a formação de um ser humano pensante, que atua e transforma e, ao mesmo tempo constrói o seu conhecimento individual e coletivamente, através da aproximação da pesquisa, teoria e prática, com referenciais positivos como a cooperação, respeito, diálogo, democracia e responsabilidade. Hoje, mais do que reproduzir dados, denominar classificações ou identificar símbolos, formar-se para a vida, num mundo de tão rápidas transformações e de tão difíceis contradições, significa saber informar-se, comunicar-se, argumentar, compreender e agir, enfrentar problemas de qualquer natureza, participar socialmente de forma responsável, ética e solidária, ser capaz de elaborar críticas ou propostas, ter competência profissional e, especialmente, adquirir uma atitude de permanente aprendizado. Para isso, primamos por:\n•	Comunidade: trabalhamos focados na satisfação de nossos alunos e comunidade, com qualidade, rapidez e relacionamento diferenciado;\n•	Integridade: praticamos os princípios de honestidade e ética em nossos relacionamentos e trabalho;\n•	Objetividade, Planejamento e Flexibilidade: sabemos onde queremos chegar através de planejamento, desburocratização e união, assumindo riscos e nos adaptando às mudanças;\n•	Conhecimento: incorporamos e aprimoramos novos saberes, de forma permanentemente, em nossas atividades;\n•	Responsabilidade Socioambiental: revemos nossos processos de trabalho para reduzir o consumo de energia, matérias-primas e a produção de lixo;\n•	 Compromisso: compreendemos nossas funções e atribuições e nos comprometemos com os objetivos e resultados com responsabilidade social.";Diretores;2018
ÁGUA CLARA;EE CHICO MENDES;Visão;;Avaliadores externos;2018
ÁGUA CLARA;EE CHICO MENDES;Visão;Ser reconhecida pela qualidade de atendimento e pelo caráter inovador de seus processos de ensino e aprendizagem.;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;A aquisição dos gêneros alimentícios utilizados na preparação da alimentação escolar é feita por Carta Convite;Sim;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;A aquisição dos gêneros alimentícios utilizados na preparação da alimentação escolar é feita por Carta Convite;Sim;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;A aquisição dos gêneros alimentícios utilizados na preparação da alimentação escolar é feita por Pregão;Não;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;A aquisição dos gêneros alimentícios utilizados na preparação da alimentação escolar é feita por Pregão;Não;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;A escola é atendida com o transporte escolar do Programa Nacional de Apoio ao Transporte Escolar-PNATE;Sim;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;A escola é atendida com o transporte escolar do Programa Nacional de Apoio ao Transporte Escolar-PNATE;Sim;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;A escola possui elevadores ou plataformas elevatórias;Não;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;A escola possui elevadores ou plataformas elevatórias;Não;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;A escola realiza Chamada Pública para aquisição de produtos alimentícios por meio da Agricultura Familiar;Sim;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;A escola realiza Chamada Pública para aquisição de produtos alimentícios por meio da Agricultura Familiar;Sim;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;APM;Sim;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;APM;Sim;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;As cópias dos Atos Oficiais que atestam o credenciamento da escola e a autorização de funcionamento das etapas oferecidas estão afixadas em local visível e acessível ao público;Sim;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;As cópias dos Atos Oficiais que atestam o credenciamento da escola e a autorização de funcionamento das etapas oferecidas estão afixadas em local visível e acessível ao público;Sim;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;As matrículas dos estudantes estão deferidas pela direção;Sim;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;As matrículas dos estudantes estão deferidas pela direção;Sim;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Biblioteca;Sim;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Biblioteca;Sim;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Calendário Escolar;Sim;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Calendário Escolar;Sim;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Caso haja outras informações importantes descreva abaixo;Nada a declarar;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Caso haja outras informações importantes descreva abaixo;Nada a declarar;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Colegiado Escolar ou Conselho Escolar;Sim;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Colegiado Escolar ou Conselho Escolar;Sim;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Documentação comprobatória da realização da Avaliação Institucional Interna;Não;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Documentação comprobatória da realização da Avaliação Institucional Interna;Sim;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Educação em Tempo Integral - Escola da Autoria - Ensino Fundamental;Não;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Educação em Tempo Integral - Escola da Autoria - Ensino Fundamental;Não;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Educação em Tempo Integral - Escola da Autoria - Ensino Médio;Não;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Educação em Tempo Integral - Escola da Autoria - Ensino Médio;Não;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Ensino Médio Inovador/ Integral Integrado;Não;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Ensino Médio Inovador/ Integral Integrado;Não;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Ensino Médio Inovador/Carga horária ampliada para 6º Tempo;Não;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Ensino Médio Inovador/Carga horária ampliada para 6º Tempo;Não;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Essa unidade escolar possui extensão;Não;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Essa unidade escolar possui extensão;Não;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Estudante Público da Educação Especial;Sim;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Estudante Público da Educação Especial;Sim;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Grêmio Estudantil;Sim;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Grêmio Estudantil;Sim;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Laboratório(s) Científico(s);Sim;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Laboratório(s) Científico(s);Sim;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Laboratório(s) para prática da Educação Profissional;Não;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Laboratório(s) para prática da Educação Profissional;Não;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Livro de incineração;Sim;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Livro de incineração;Sim;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Livro tombo;Sim;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Livro tombo;Sim;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Mais Educação/Ensino em Tempo Integral - EF;Não;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Mais Educação/Ensino em Tempo Integral - EF;Não;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Missão;;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Missão;"Oferecer um ensino de qualidade que possibilite o desenvolvimento do senso crítico, respeitando e valorizando o ser humano em seus princípios étnicos fundamentais: igualdade, liberdade, solidariedade, participação e diversidade com as principais estratégias de ação: busca constante de aperfeiçoamento, tendo a aprendizagem como processo contínuo da busca pelo saber; cooperação, melhorando a comunicação e buscando a participação e o desenvolvimento do ser humano, da escola e da comunidade; visão consciente e crítica da realidade.";Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Organização do arquivo escolar (com a verificação, aleatória, das pastas dos diversos segmentos da escola);;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Organização do arquivo escolar (com a verificação, aleatória, das pastas dos diversos segmentos da escola);Sim;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Plano de Desenvolvimento da Escola;;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Plano de Desenvolvimento da Escola;Sim;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Professores com Formação Superior que atuam em sala de aula;21;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Professores com Formação Superior que atuam em sala de aula;21;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Professores convocados que atuam em sala de aula;14;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Professores convocados que atuam em sala de aula;14;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Professores efetivos que atuam em sala de aula;8;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Professores efetivos que atuam em sala de aula;8;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Professores efetivos readaptados;1;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Professores efetivos readaptados;1;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Professores habilitados para a área que atuam;18;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Professores habilitados para a área que atuam;19;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Professores habilitados para a área que atuam e complementam carga horária fora da área de habilitação;0;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Professores habilitados para a área que atuam e complementam carga horária fora da área de habilitação;0;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Professores não habilitados para a área que atuam;3;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Professores não habilitados para a área que atuam;4;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Professores sem Formação Superior que atuam em sala de aula;1;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Professores sem Formação Superior que atuam em sala de aula;1;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Projeto AJA - Avanço do Jovem na Aprendizagem;Não;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Projeto AJA - Avanço do Jovem na Aprendizagem;Não;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Projeto Aprendizagem por Autoria - Ensino Fundamental;Não;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Projeto Aprendizagem por Autoria - Ensino Fundamental;Não;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Projeto Político-Pedagógico / Proposta Pedagógica;Sim;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Projeto Político-Pedagógico / Proposta Pedagógica;Sim;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Quadra de Esportes;Sim;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Quadra de Esportes;Sim;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Quantas extensões;0;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Quantas extensões;0;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Quantos estudantes da escola utilizam o transporte escolar público;47;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Quantos estudantes da escola utilizam o transporte escolar público;47;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Quantos estudantes estão matriculados na(s) extensão(ões);0;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Quantos estudantes estão matriculados na(s) extensão(ões);0;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Referencial Curricular;Sim;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Referencial Curricular;Sim;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Regimento Escolar;Sim;Avaliadores externos;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Regimento Escolar;Sim;Diretores;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Registros do aproveitamento dos dados coletados na Avaliação Institucional Interna para melhoria dos trabalhos desenvolvidos por todos os segmentos da escola;Não;Diretores;2018
