Cidade;Escola;Dimensao;NotaDaDimensao;Area;NotaDaArea;Topico;NotaDoTopico;AnoDaAvaliacao
ÁGUA CLARA;EE CHICO MENDES;Gestão de Infraestrutura e Condições de Funcionamento da Escola;7.92568;Instalações e Condições de Funcionamento;7.92568;Sala da Direção;8.12232;2018
ÁGUA CLARA;EE CHICO MENDES;Gestão de Infraestrutura e Condições de Funcionamento da Escola;7.92568;Instalações e Condições de Funcionamento;7.92568;Sala da Coordenação Pedagógica;7.89268;2018
ÁGUA CLARA;EE CHICO MENDES;Gestão de Infraestrutura e Condições de Funcionamento da Escola;7.92568;Instalações e Condições de Funcionamento;7.92568;Sala dos Professores;7.74066;2018
ÁGUA CLARA;EE CHICO MENDES;Gestão de Infraestrutura e Condições de Funcionamento da Escola;7.92568;Instalações e Condições de Funcionamento;7.92568;Secretaria Escolar;8.39584;2018
ÁGUA CLARA;EE CHICO MENDES;Gestão de Infraestrutura e Condições de Funcionamento da Escola;7.92568;Instalações e Condições de Funcionamento;7.92568;Salas de Aula;8.96178;2018
ÁGUA CLARA;EE CHICO MENDES;Gestão de Infraestrutura e Condições de Funcionamento da Escola;7.92568;Instalações e Condições de Funcionamento;7.92568;Área Externa da Escola;8.41250;2018
ÁGUA CLARA;EE CHICO MENDES;Gestão de Infraestrutura e Condições de Funcionamento da Escola;7.92568;Instalações e Condições de Funcionamento;7.92568;Banheiros;8.54833;2018
ÁGUA CLARA;EE CHICO MENDES;Gestão de Infraestrutura e Condições de Funcionamento da Escola;7.92568;Instalações e Condições de Funcionamento;7.92568;Biblioteca;8.34793;2018
ÁGUA CLARA;EE CHICO MENDES;Gestão de Infraestrutura e Condições de Funcionamento da Escola;7.92568;Instalações e Condições de Funcionamento;7.92568;Sala de Tecnologias (STE);8.18000;2018
ÁGUA CLARA;EE CHICO MENDES;Gestão de Infraestrutura e Condições de Funcionamento da Escola;7.92568;Instalações e Condições de Funcionamento;7.92568;Laboratório (s) para prática de Educação Profissional;2.84000;2018
ÁGUA CLARA;EE CHICO MENDES;Gestão de Infraestrutura e Condições de Funcionamento da Escola;7.92568;Instalações e Condições de Funcionamento;7.92568;Segurança;8.50667;2018
ÁGUA CLARA;EE CHICO MENDES;Gestão de Infraestrutura e Condições de Funcionamento da Escola;7.92568;Instalações e Condições de Funcionamento;7.92568;Acessibilidade;7.78111;2018
ÁGUA CLARA;EE CHICO MENDES;Gestão de Infraestrutura e Condições de Funcionamento da Escola;7.92568;Instalações e Condições de Funcionamento;7.92568;Alimentação Escolar/Cozinha/Depósito;7.43599;2018
ÁGUA CLARA;EE CHICO MENDES;Gestão de Infraestrutura e Condições de Funcionamento da Escola;7.92568;Instalações e Condições de Funcionamento;7.92568;Quadra de Esportes;9.56667;2018
ÁGUA CLARA;EE CHICO MENDES;Gestão de Interação e Ambiente Escolar;8.57047;Interação;8.47667;Relacionamento Interpessoal;8.47667;2018
ÁGUA CLARA;EE CHICO MENDES;Gestão de Interação e Ambiente Escolar;8.57047;Ambiente Escolar;8.53238;Comunicação e Integração com a Escola;8.60500;2018
ÁGUA CLARA;EE CHICO MENDES;Gestão de Interação e Ambiente Escolar;8.57047;Ambiente Escolar;8.53238;Zelo ao Patrimônio;8.10250;2018
ÁGUA CLARA;EE CHICO MENDES;Gestão de Interação e Ambiente Escolar;8.57047;Ambiente Escolar;8.53238;Compromisso com a Escola;8.76667;2018
ÁGUA CLARA;EE CHICO MENDES;Gestão de Interação e Ambiente Escolar;8.57047;Grau de Satisfação;8.87555;Numa escala de 0 a 10, qual o seu grau de satisfação em relação aos trabalhos desenvolvidos na unidade escolar;8.96667;2018
ÁGUA CLARA;EE CHICO MENDES;Gestão de Interação e Ambiente Escolar;8.57047;Grau de Satisfação;8.87555;Numa escala de 0 a 10, qual o seu grau de satisfação em relação aos trabalhos desenvolvidos pelos professores na unidade escolar;9.03704;2018
ÁGUA CLARA;EE CHICO MENDES;Gestão de Interação e Ambiente Escolar;8.57047;Grau de Satisfação;8.87555;Numa escala de 0 a 10, qual o seu grau de satisfação em relação aos trabalhos desenvolvidos com os estudantes na unidade escolar;8.92963;2018
ÁGUA CLARA;EE CHICO MENDES;Gestão de Interação e Ambiente Escolar;8.57047;Grau de Satisfação;8.87555;Numa escala de 0 a 10, qual o grau de satisfação dos pais ou responsáveis em relação aos trabalhos desenvolvidos na unidade escolar;8.29932;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Gestão Administrativa;8.60890;Avaliação Normativa;8.70272;Gestão Escolar;8.61495;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Gestão Administrativa;8.60890;Avaliação Normativa;8.70272;Uso das Ferramentas da Gestão Escolar;8.82777;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Gestão Administrativa;8.60890;Administração Escolar;8.46447;Investimentos e Gestão de Recursos Humanos;8.51250;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Gestão Administrativa;8.60890;Administração Escolar;8.46447;Prestação de Contas;7.09244;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Gestão Administrativa;8.60890;Administração Escolar;8.46447;Transporte Escolar;8.95667;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Gestão Pedagógica;7.72269;Instrumentos Pedagógicos;7.65143;Referencial Curricular;8.36306;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Gestão Pedagógica;7.72269;Instrumentos Pedagógicos;7.65143;Projeto Político-Pedagógico / Proposta Pedagógica;6.35952;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Gestão Pedagógica;7.72269;Instrumentos Pedagógicos;7.65143;Planejamento;8.27082;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Gestão Pedagógica;7.72269;Instrumentos Pedagógicos;7.65143;Práticas Pedagógicas;7.73701;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Gestão Pedagógica;7.72269;Instrumentos Pedagógicos;7.65143;Recursos Pedagógicos;7.63452;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Gestão Pedagógica;7.72269;Instrumentos Pedagógicos;7.65143;Recursos Tecnológicos e Midiáticos;7.43601;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Gestão Pedagógica;7.72269;Instrumentos Pedagógicos;7.65143;Sala de Apoio Pedagógico;7.89449;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Gestão Pedagógica;7.72269;Instrumentos Pedagógicos;7.65143;Atendimento Educacional Especializado / AEE;7.97000;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Gestão Pedagógica;7.72269;Avaliação;8.06258;Avaliação da Aprendizagem;8.82205;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Gestão Pedagógica;7.72269;Avaliação;8.06258;Avaliação de Desempenho / SAEMS;7.54000;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Gestão Pedagógica;7.72269;Avaliação;8.06258;Avaliação de Desempenho / Prova Brasil;8.11200;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Gestão Pedagógica;7.72269;Índice de Educação;7.33483;Índice de Desenvolvimento da Educação Básica/IDEB;7.33483;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Gestão de Infraestrutura e Condições de Funcionamento da Escola;7.97857;Instalações e Condições de Funcionamento;7.97857;Sala da Direção;8.24870;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Gestão de Infraestrutura e Condições de Funcionamento da Escola;7.97857;Instalações e Condições de Funcionamento;7.97857;Sala da Coordenação Pedagógica;8.30596;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Gestão de Infraestrutura e Condições de Funcionamento da Escola;7.97857;Instalações e Condições de Funcionamento;7.97857;Sala dos Professores;8.32775;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Gestão de Infraestrutura e Condições de Funcionamento da Escola;7.97857;Instalações e Condições de Funcionamento;7.97857;Secretaria Escolar;8.58813;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Gestão de Infraestrutura e Condições de Funcionamento da Escola;7.97857;Instalações e Condições de Funcionamento;7.97857;Salas de Aula;9.04715;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Gestão de Infraestrutura e Condições de Funcionamento da Escola;7.97857;Instalações e Condições de Funcionamento;7.97857;Área Externa da Escola;8.92000;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Gestão de Infraestrutura e Condições de Funcionamento da Escola;7.97857;Instalações e Condições de Funcionamento;7.97857;Banheiros;9.02333;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Gestão de Infraestrutura e Condições de Funcionamento da Escola;7.97857;Instalações e Condições de Funcionamento;7.97857;Biblioteca;8.26698;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Gestão de Infraestrutura e Condições de Funcionamento da Escola;7.97857;Instalações e Condições de Funcionamento;7.97857;Sala de Tecnologias (STE);7.91600;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Gestão de Infraestrutura e Condições de Funcionamento da Escola;7.97857;Instalações e Condições de Funcionamento;7.97857;Laboratório (s) Científico (s);4.85750;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Gestão de Infraestrutura e Condições de Funcionamento da Escola;7.97857;Instalações e Condições de Funcionamento;7.97857;Segurança;7.66667;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Gestão de Infraestrutura e Condições de Funcionamento da Escola;7.97857;Instalações e Condições de Funcionamento;7.97857;Acessibilidade;6.73444;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Gestão de Infraestrutura e Condições de Funcionamento da Escola;7.97857;Instalações e Condições de Funcionamento;7.97857;Alimentação Escolar/Cozinha/Depósito;7.61209;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Gestão de Infraestrutura e Condições de Funcionamento da Escola;7.97857;Instalações e Condições de Funcionamento;7.97857;Quadra de Esportes;8.36333;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Gestão de Interação e Ambiente Escolar;7.85449;Interação;6.97000;Relacionamento Interpessoal;6.97000;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Gestão de Interação e Ambiente Escolar;7.85449;Ambiente Escolar;7.97000;Comunicação e Integração com a Escola;8.12643;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Gestão de Interação e Ambiente Escolar;7.85449;Ambiente Escolar;7.97000;Zelo ao Patrimônio;7.75500;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Gestão de Interação e Ambiente Escolar;7.85449;Ambiente Escolar;7.97000;Compromisso com a Escola;7.52667;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Gestão de Interação e Ambiente Escolar;7.85449;Grau de Satisfação;7.91675;Numa escala de 0 a 10, qual o seu grau de satisfação em relação aos trabalhos desenvolvidos na unidade escolar;7.92432;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Gestão de Interação e Ambiente Escolar;7.85449;Grau de Satisfação;7.91675;Numa escala de 0 a 10, qual o seu grau de satisfação em relação aos trabalhos desenvolvidos pelos professores na unidade escolar;8.02703;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Gestão de Interação e Ambiente Escolar;7.85449;Grau de Satisfação;7.91675;Numa escala de 0 a 10, qual o seu grau de satisfação em relação aos trabalhos desenvolvidos com os estudantes na unidade escolar;7.92973;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Gestão de Interação e Ambiente Escolar;7.85449;Grau de Satisfação;7.91675;Numa escala de 0 a 10, qual o grau de satisfação dos pais ou responsáveis em relação aos trabalhos desenvolvidos na unidade escolar;7.72131;2018
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Gestão Administrativa;8.82677;Avaliação Normativa;9.13640;Gestão Escolar;9.10269;2018
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Gestão Administrativa;8.82677;Avaliação Normativa;9.13640;Uso das Ferramentas da Gestão Escolar;9.18467;2018
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Gestão Administrativa;8.82677;Administração Escolar;8.34649;Investimentos e Gestão de Recursos Humanos;9.04750;2018
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Gestão Administrativa;8.82677;Administração Escolar;8.34649;Prestação de Contas;8.54566;2018
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Gestão Administrativa;8.82677;Administração Escolar;8.34649;Transporte Escolar;7.32667;2018
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Gestão Pedagógica;8.63964;Instrumentos Pedagógicos;8.63376;Referencial Curricular;8.86642;2018
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Gestão Pedagógica;8.63964;Instrumentos Pedagógicos;8.63376;Projeto Político-Pedagógico / Proposta Pedagógica;7.93693;2018
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Gestão Pedagógica;8.63964;Instrumentos Pedagógicos;8.63376;Planejamento;8.82053;2018
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Gestão Pedagógica;8.63964;Instrumentos Pedagógicos;8.63376;Práticas Pedagógicas;8.52927;2018
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Gestão Pedagógica;8.63964;Instrumentos Pedagógicos;8.63376;Recursos Pedagógicos;8.04172;2018
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Gestão Pedagógica;8.63964;Instrumentos Pedagógicos;8.63376;Recursos Tecnológicos e Midiáticos;8.31469;2018
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Gestão Pedagógica;8.63964;Instrumentos Pedagógicos;8.63376;Sala de Apoio Pedagógico;9.08174;2018
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Gestão Pedagógica;8.63964;Instrumentos Pedagógicos;8.63376;Atendimento Educacional Especializado / AEE;9.43091;2018
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Gestão Pedagógica;8.63964;Modalidades Atendidas Pela Escola;8.80857;Educação Profissional;8.80857;2018
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Gestão Pedagógica;8.63964;Avaliação;8.61508;Avaliação da Aprendizagem;8.92193;2018
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Gestão Pedagógica;8.63964;Avaliação;8.61508;Avaliação de Desempenho / SAEMS;8.32500;2018
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Gestão Pedagógica;8.63964;Avaliação;8.61508;Avaliação de Desempenho / Prova Brasil;8.69000;2018
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Gestão Pedagógica;8.63964;Índice de Educação;8.52638;Índice de Desenvolvimento da Educação Básica/IDEB;8.52638;2018
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Gestão de Infraestrutura e Condições de Funcionamento da Escola;8.57422;Instalações e Condições de Funcionamento;8.57422;Sala da Direção;8.62289;2018
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Gestão de Infraestrutura e Condições de Funcionamento da Escola;8.57422;Instalações e Condições de Funcionamento;8.57422;Sala da Coordenação Pedagógica;8.38274;2018
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Gestão de Infraestrutura e Condições de Funcionamento da Escola;8.57422;Instalações e Condições de Funcionamento;8.57422;Sala dos Professores;8.45757;2018
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Gestão de Infraestrutura e Condições de Funcionamento da Escola;8.57422;Instalações e Condições de Funcionamento;8.57422;Secretaria Escolar;8.52206;2018
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Gestão de Infraestrutura e Condições de Funcionamento da Escola;8.57422;Instalações e Condições de Funcionamento;8.57422;Salas de Aula;8.83238;2018
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Gestão de Infraestrutura e Condições de Funcionamento da Escola;8.57422;Instalações e Condições de Funcionamento;8.57422;Área Externa da Escola;8.61625;2018
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Gestão de Infraestrutura e Condições de Funcionamento da Escola;8.57422;Instalações e Condições de Funcionamento;8.57422;Banheiros;8.99833;2018
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Gestão de Infraestrutura e Condições de Funcionamento da Escola;8.57422;Instalações e Condições de Funcionamento;8.57422;Biblioteca;8.68605;2018
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Gestão de Infraestrutura e Condições de Funcionamento da Escola;8.57422;Instalações e Condições de Funcionamento;8.57422;Sala de Tecnologias (STE);8.47600;2018
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Gestão de Infraestrutura e Condições de Funcionamento da Escola;8.57422;Instalações e Condições de Funcionamento;8.57422;Segurança;8.02000;2018
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Gestão de Infraestrutura e Condições de Funcionamento da Escola;8.57422;Instalações e Condições de Funcionamento;8.57422;Acessibilidade;8.01444;2018
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Gestão de Infraestrutura e Condições de Funcionamento da Escola;8.57422;Instalações e Condições de Funcionamento;8.57422;Alimentação Escolar/Cozinha/Depósito;9.08206;2018
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Gestão de Infraestrutura e Condições de Funcionamento da Escola;8.57422;Instalações e Condições de Funcionamento;8.57422;Quadra de Esportes;8.55667;2018
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Gestão de Interação e Ambiente Escolar;8.39830;Interação;8.45667;Relacionamento Interpessoal;8.45667;2018
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Gestão de Interação e Ambiente Escolar;8.39830;Ambiente Escolar;8.38905;Comunicação e Integração com a Escola;8.48500;2018
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Gestão de Interação e Ambiente Escolar;8.39830;Ambiente Escolar;8.38905;Zelo ao Patrimônio;8.19000;2018
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Gestão de Interação e Ambiente Escolar;8.39830;Ambiente Escolar;8.38905;Compromisso com a Escola;8.20667;2018
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Gestão de Interação e Ambiente Escolar;8.39830;Grau de Satisfação;8.40347;Numa escala de 0 a 10, qual o seu grau de satisfação em relação aos trabalhos desenvolvidos na unidade escolar;8.45740;2018
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Gestão de Interação e Ambiente Escolar;8.39830;Grau de Satisfação;8.40347;Numa escala de 0 a 10, qual o seu grau de satisfação em relação aos trabalhos desenvolvidos pelos professores na unidade escolar;8.57848;2018
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Gestão de Interação e Ambiente Escolar;8.39830;Grau de Satisfação;8.40347;Numa escala de 0 a 10, qual o seu grau de satisfação em relação aos trabalhos desenvolvidos com os estudantes na unidade escolar;8.34081;2018
ANASTÁCIO;EE CARLOS DRUMMOND DE ANDRADE;Gestão de Interação e Ambiente Escolar;8.39830;Grau de Satisfação;8.40347;Numa escala de 0 a 10, qual o grau de satisfação dos pais ou responsáveis em relação aos trabalhos desenvolvidos na unidade escolar;8.17284;2018
ANASTÁCIO;EE INDÍGENA GUILHERMINA DA SILVA;Gestão Administrativa;8.35964;Avaliação Normativa;9.01110;Gestão Escolar;9.05173;2018
ANASTÁCIO;EE INDÍGENA GUILHERMINA DA SILVA;Gestão Administrativa;8.35964;Avaliação Normativa;9.01110;Uso das Ferramentas da Gestão Escolar;8.95307;2018
ANASTÁCIO;EE INDÍGENA GUILHERMINA DA SILVA;Gestão Administrativa;8.35964;Administração Escolar;7.35310;Investimentos e Gestão de Recursos Humanos;8.16250;2018
ANASTÁCIO;EE INDÍGENA GUILHERMINA DA SILVA;Gestão Administrativa;8.35964;Administração Escolar;7.35310;Prestação de Contas;7.85934;2018
ANASTÁCIO;EE INDÍGENA GUILHERMINA DA SILVA;Gestão Administrativa;8.35964;Administração Escolar;7.35310;Transporte Escolar;6.06333;2018
ANASTÁCIO;EE INDÍGENA GUILHERMINA DA SILVA;Gestão Pedagógica;8.16246;Instrumentos Pedagógicos;8.00685;Referencial Curricular;8.78819;2018
ANASTÁCIO;EE INDÍGENA GUILHERMINA DA SILVA;Gestão Pedagógica;8.16246;Instrumentos Pedagógicos;8.00685;Projeto Político-Pedagógico / Proposta Pedagógica;7.81827;2018
ANASTÁCIO;EE INDÍGENA GUILHERMINA DA SILVA;Gestão Pedagógica;8.16246;Instrumentos Pedagógicos;8.00685;Planejamento;8.75852;2018
ANASTÁCIO;EE INDÍGENA GUILHERMINA DA SILVA;Gestão Pedagógica;8.16246;Instrumentos Pedagógicos;8.00685;Práticas Pedagógicas;8.22066;2018
ANASTÁCIO;EE INDÍGENA GUILHERMINA DA SILVA;Gestão Pedagógica;8.16246;Instrumentos Pedagógicos;8.00685;Recursos Pedagógicos;7.07004;2018
ANASTÁCIO;EE INDÍGENA GUILHERMINA DA SILVA;Gestão Pedagógica;8.16246;Instrumentos Pedagógicos;8.00685;Recursos Tecnológicos e Midiáticos;7.50485;2018
ANASTÁCIO;EE INDÍGENA GUILHERMINA DA SILVA;Gestão Pedagógica;8.16246;Instrumentos Pedagógicos;8.00685;Sala de Apoio Pedagógico;7.62150;2018
ANASTÁCIO;EE INDÍGENA GUILHERMINA DA SILVA;Gestão Pedagógica;8.16246;Instrumentos Pedagógicos;8.00685;Atendimento Educacional Especializado / AEE;8.62091;2018
ANASTÁCIO;EE INDÍGENA GUILHERMINA DA SILVA;Gestão Pedagógica;8.16246;Modalidades Atendidas Pela Escola;9.03043;Educação de Jovens e Adultos/EJA;8.76032;2018
ANASTÁCIO;EE INDÍGENA GUILHERMINA DA SILVA;Gestão Pedagógica;8.16246;Modalidades Atendidas Pela Escola;9.03043;Educação Escolar Indígena;9.27000;2018
ANASTÁCIO;EE INDÍGENA GUILHERMINA DA SILVA;Gestão Pedagógica;8.16246;Avaliação;8.45008;Avaliação da Aprendizagem;8.95213;2018
ANASTÁCIO;EE INDÍGENA GUILHERMINA DA SILVA;Gestão Pedagógica;8.16246;Avaliação;8.45008;Avaliação de Desempenho / SAEMS;8.05500;2018
ANASTÁCIO;EE INDÍGENA GUILHERMINA DA SILVA;Gestão Pedagógica;8.16246;Avaliação;8.45008;Avaliação de Desempenho / Prova Brasil;8.51600;2018
ANASTÁCIO;EE INDÍGENA GUILHERMINA DA SILVA;Gestão Pedagógica;8.16246;Índice de Educação;8.03843;Índice de Desenvolvimento da Educação Básica/IDEB;8.03843;2018
ANASTÁCIO;EE INDÍGENA GUILHERMINA DA SILVA;Gestão de Infraestrutura e Condições de Funcionamento da Escola;6.83281;Instalações e Condições de Funcionamento;6.83281;Sala da Coordenação Pedagógica;6.28222;2018
ANASTÁCIO;EE INDÍGENA GUILHERMINA DA SILVA;Gestão de Infraestrutura e Condições de Funcionamento da Escola;6.83281;Instalações e Condições de Funcionamento;6.83281;Secretaria Escolar;7.73625;2018
ANASTÁCIO;EE INDÍGENA GUILHERMINA DA SILVA;Gestão de Infraestrutura e Condições de Funcionamento da Escola;6.83281;Instalações e Condições de Funcionamento;6.83281;Salas de Aula;7.41467;2018
ANASTÁCIO;EE INDÍGENA GUILHERMINA DA SILVA;Gestão de Infraestrutura e Condições de Funcionamento da Escola;6.83281;Instalações e Condições de Funcionamento;6.83281;Área Externa da Escola;7.16000;2018
ANASTÁCIO;EE INDÍGENA GUILHERMINA DA SILVA;Gestão de Infraestrutura e Condições de Funcionamento da Escola;6.83281;Instalações e Condições de Funcionamento;6.83281;Banheiros;7.16333;2018
ANASTÁCIO;EE INDÍGENA GUILHERMINA DA SILVA;Gestão de Infraestrutura e Condições de Funcionamento da Escola;6.83281;Instalações e Condições de Funcionamento;6.83281;Sala de Tecnologias (STE);7.37800;2018
ANASTÁCIO;EE INDÍGENA GUILHERMINA DA SILVA;Gestão de Infraestrutura e Condições de Funcionamento da Escola;6.83281;Instalações e Condições de Funcionamento;6.83281;Segurança;6.99333;2018
