Cidade;Escola;SegmentoRespondente;AnoDaAvaliacao;Questao;Resposta;QuantidadeDeRespostas
CHAPADÃO DO SUL;EE JORGE AMADO;Professores;2018;Idade;46 a 50 anos;10
NAVIRAÍ;EE JURACY ALVES CARDOSO;Pais ou Responsáveis;2018;Idade;31 a 35 anos;22
COSTA RICA;EE JOSÉ FERREIRA DA COSTA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Funcionário Publico Municipal;1
CAMPO GRANDE;CEI JOSÉ EDUARDO MARTINS JALLAD - ZEDU;Avaliadores externos;2018;Graduação;Licenciatura;1
CAARAPÓ;EE PROF.ª CLEUZA APARECIDA VARGAS GALHARDO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;professor de deficiente;1
TRÊS LAGOAS;EE PROF. LUIZ LOPES DE CARVALHO;Professores;2018;Idade;36 a 40 anos;5
PONTA PORÃ;EE DR MIGUEL MARCONDES ARMANDO;Coordenadores Pedagógicos;2018;Você se considera;Pardo;3
DOURADOS;EE MIN. JOÃO PAULO DOS REIS VELOSO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;autonomo;2
CAMPO GRANDE;EE OLINDA CONCEIÇÃO TEIXEIRA BACHA;Professores;2018;Informe a licenciatura;Graduação de Professores;2
DOURADOS;EE MIN. JOÃO PAULO DOS REIS VELOSO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;do lado;17
SELVÍRIA;EE ANA MARIA DE SOUZA;Diretores;2018;Exerce esta função;De 4 a 6 anos;1
CAMPO GRANDE;EE WALDEMIR BARROS DA SILVA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;servidora publica;1
CASSILÂNDIA;EE HERMELINA BARBOSA LEAL;Coordenadores Pedagógicos;2018;Idade;Mais de 50 anos;1
TRÊS LAGOAS;EE PADRE JOÃO TOMES;Estudantes;2018;Ano escolar;7º ano do Ensino Fundamental;20
DOURADOS;EE RITA ANGELINA BARBOSA SILVEIRA;Professores;2018;Licenciatura;Química;1
CAMPO GRANDE;EE PROFª. ÉLIA FRANÇA CARDOSO;Professores;2018;Informe o bacharelado;Administração;1
ITAPORÃ;EE RODRIGUES ALVES;Pais ou Responsáveis;2018;Idade;Mais de 50 anos;59
DOURADOS;EE ANTÔNIA DA SILVEIRA CAPILÉ;Funcionários Administrativos;2018;Idade;46 a 50 anos;7
CAMPO GRANDE;EE PROFª HILDA DE SOUZA FERREIRA;Avaliadores externos;2018;Você se considera;Pardo;1
CAMPO GRANDE;EE LUISA VIDAL BORGES DANIEL;Secretários Escolares;2018;Exerce esta função;De 1 a 3 anos;1
BONITO;EE BONIFÁCIO CAMARGO GOMES;Professores;2018;Licenciatura;Física;1
VICENTINA;EE PADRE JOSÉ DANIEL;Professores;2018;Pós-Graduação;Não possui;6
PARANAÍBA;EE DR. ERMÍRIO LEAL GARCIA;Pais ou Responsáveis;2018;Tempo que o estudante pelo qual você é responsável  estuda nesta escola;Há mais de 8 anos;7
MUNDO NOVO;EE PROFESSORA IOLANDA ALLY;Professores;2018;Idade;Mais de 50 anos;8
AQUIDAUANA;EE INDÍGENA DE EM PROF. DOMINGOS VERÍSSIMO MARCOS - MÍHIN;Professores;2018;Pós-Graduação;Especialização;4
CAMPO GRANDE;EE ARLINDO DE ANDRADE GOMES;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;vendedor;2
MARACAJU;EE MANOEL FERREIRA DE LIMA;Pais ou Responsáveis;2018;Grau de parentesco com o estudante pelo qual você é responsável;Irmã(o);8
ANASTÁCIO;EE ROBERTO SCAFF;Estudantes;2018;Estuda nesta escola;De 6 a 8 anos;9
DOURADOS;EE JOAQUIM VAZ DE OLIVEIRA;Professores;2018;Idade;36 a 40 anos;6
CORUMBÁ;EE CARLOS DE CASTRO BRASIL;Coordenadores Técnicos;2018;Exerce esta função;Há menos de um ano;1
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Professores;2018;Licenciatura;Química;1
APARECIDA DO TABOADO;EE ERNESTO RODRIGUES;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Construtor;2
IVINHEMA;EE ANGELINA JAIME TEBET;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;entregador;1
DOURADOS;EE ROTARY DR. NELSON DE ARAÚJO;Professores;2018;Você se considera;Pardo;4
MIRANDA;EE INDÍGENA CACIQUE TIMÓTEO;Avaliadores externos;2018;Informe sua regional;CRE-01 - Aquidauana;1
CAMPO GRANDE;EE LUISA VIDAL BORGES DANIEL;Professores;2018;Licenciatura;Educação Física;7
MIRANDA;EE CAETANO PINTO;Estudantes;2018;Possui computador em casa;Sim;82
MIRANDA;EE CAETANO PINTO;Professores;2018;Trabalha nesta escola;De 4 a 6 anos;4
SIDROLÂNDIA;EE PROFESSORA CATARINA DE ABREU;Professores;2018;Pós-Graduação;Mestrado (Incompleto);2
NAVIRAÍ;EE ANTONIO FERNANDES;Funcionários Administrativos;2018;Sexo;Feminino;12
DOURADOS;EE PROF. ALICIO ARAUJO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Encantador;1
SANTA RITA DO PARDO;EE JOSÉ FERREIRA LIMA;Estudantes;2018;Estuda nesta escola;De 6 a 8 anos;13
CAMPO GRANDE;EE ZAMENHOF;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;comerciante;1
DOURADOS;EE JOAQUIM VAZ DE OLIVEIRA;Coordenadores Pedagógicos;2018;Licenciatura;Ciências Biológicas;1
NIOAQUE;EE INDÍGENA DE ENSINO MÉDIO ANGELINA VICENTE;Funcionários Administrativos;2018;Exerce esta função;De 4 a 6 anos;1
CAMPO GRANDE;EE PROFª ALICE NUNES ZAMPIERE;Professores;2018;Exerce esta função;Há menos de um ano;6
MARACAJU;EE CORONEL LIMA DE FIGUEIREDO;Professores;2018;Formação;Ensino Superior;36
MIRANDA;EE CAETANO PINTO;Estudantes;2018;Sexo;Masculino;92
MIRANDA;EE INDÍGENA PROFESSOR ATANÁSIO ALVES;Pais ou Responsáveis;2018;Tempo que disponibiliza por dia para estudar com o estudante pelo qual você é responsável;De 3 a 4 horas;1
DOURADOS;EE RITA ANGELINA BARBOSA SILVEIRA;Secretários Escolares;2018;Você se considera;Branco;1
PONTA PORÃ;EE MENDES GONÇALVES;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Auto Eletricista;1
CAMPO GRANDE;CEI JOSÉ EDUARDO MARTINS JALLAD - ZEDU;Pais ou Responsáveis;2018;Exerce alguma atividade remunerada;Sim;83
PONTA PORÃ;EE MENDES GONÇALVES;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Pintor;1
DOURADOS;EE MIN. JOÃO PAULO DOS REIS VELOSO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;do lar;1
CAMPO GRANDE;EE GENERAL MALAN;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;serralheiro;1
CAMPO GRANDE;EE MANOEL BONIFÁCIO NUNES DA CUNHA;Professores;2018;Licenciatura;Outros;1
CAMPO GRANDE;EE MANOEL BONIFÁCIO NUNES DA CUNHA;Secretários Escolares;2018;Formação;Ensino Médio;1
CORUMBÁ;EE DR. JOÃO LEITE DE BARROS;Pais ou Responsáveis;2018;Grau de parentesco com o estudante pelo qual você é responsável;Filho(a);56
CAMPO GRANDE;EE JOAQUIM MURTINHO;Professores;2018;Idade;31 a 35 anos;14
CASSILÂNDIA;EE SÃO JOSÉ;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;cabeleleira,dona de casa e outros;1
ANAURILÂNDIA;EE MARIA JOSÉ;Funcionários Administrativos;2018;Informe qual função exerce nessa unidade escolar;Agente de merenda;8
CAMPO GRANDE;EE HÉRCULES MAYMONE;Coordenadores Técnicos;2018;Exerce esta função;Há menos de um ano;1
CAMPO GRANDE;EE PÓLO PROFª. REGINA LÚCIA ANFFE NUNES BETINE;Professores;2018;Você leciona em;Três escolas;2
CAMPO GRANDE;EE PADRE JOÃO GREINER;Coordenadores Técnicos;2018;Trabalha nesta escola;De 1 a 3 anos;1
IVINHEMA;EE ANGELINA JAIME TEBET;Funcionários Administrativos;2018;Sexo;Feminino;22
GLÓRIA DE DOURADOS;EE HILDA BERGO DUARTE;Funcionários Administrativos;2018;Sexo;Feminino;15
DOURADOS;CEEJA DE DOURADOS/ MS;Professores;2018;Trabalha nesta escola;Há menos de um ano;6
CAARAPÓ;EE TENENTE AVIADOR ANTÔNIO JOÃO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;atendente;1
MIRANDA;ESCOLA ESTADUAL INDIGENA CACIQUE VICENTE DE ALMEIDA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;vigilante;1
ITAPORÃ;EE RODRIGUES ALVES;Diretores Adjuntos;2018;Graduação;Licenciatura;1
NAVIRAÍ;EE VINÍCIUS DE MORAES;Professores;2018;Informe o bacharelado;Educação fisica;1
NOVA ANDRADINA;EE AUSTRILIO CAPILÉ CASTRO;Pais ou Responsáveis;2018;Exerce alguma atividade remunerada;Não;10
DOURADOS;EE ANTÔNIA DA SILVEIRA CAPILÉ;Avaliadores externos;2018;Sexo;Feminino;1
CAMPO GRANDE;EE GENERAL MALAN;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;empresario;3
APARECIDA DO TABOADO;EE FREI VITAL DE GARIBALDI;Avaliadores externos;2018;Idade;46 a 50 anos;1
CAARAPÓ;EE PROF.ª CLEUZA APARECIDA VARGAS GALHARDO;Funcionários Administrativos;2018;Informe qual função exerce nessa unidade escolar;Agente de merenda;6
NAVIRAÍ;EE JURACY ALVES CARDOSO;Coordenadores Pedagógicos;2018;Formação;Ensino Superior;2
CORUMBÁ;EE DR. JOÃO LEITE DE BARROS;Estudantes;2018;Estuda nesta escola;Há mais de 8 anos;10
BRASILÂNDIA;EE ADILSON ALVES DA SILVA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Esteticista;1
CAMPO GRANDE;EE PROF. OTAVIANO GONÇALVES DA SILVEIRA JUNIOR;Professores;2018;Idade;Mais de 50 anos;6
NOVA ANDRADINA;EEPROFª NAIR PALÁCIO DE SOUZA;Diretores;2018;Graduação;Licenciatura;1
DOURADOS;EE ROTARY DR. NELSON DE ARAÚJO;Pais ou Responsáveis;2018;Formação;Especialização;9
TRÊS LAGOAS;EE AFONSO FRANCISCO XAVIER TRANNIN;Estudantes;2018;Sexo;Feminino;48
ITAPORÃ;EE RODRIGUES ALVES;Pais ou Responsáveis;2018;Tempo que o estudante pelo qual você é responsável  estuda nesta escola;De 2 a 4 anos;66
CORUMBÁ;EE DR. JOÃO LEITE DE BARROS;Funcionários Administrativos;2018;Trabalha nesta escola;Há mais de 6 anos;9
ANAURILÂNDIA;EE MARIA JOSÉ;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;comerciante;5
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Funcionários Administrativos;2018;Formação;Ensino Superior;4
APARECIDA DO TABOADO;EE FREI VITAL DE GARIBALDI;Professores;2018;Licenciatura;Artes;2
DOURADOS;EE MARIA DA GLÓRIA MUZZI FERREIRA;Professores;2018;Licenciatura;Física;1
FÁTIMA DO SUL;EE SENADOR FILINTO MULLER;Pais ou Responsáveis;2018;Grau de parentesco com o estudante pelo qual você é responsável;Irmã(o);1
CAMPO GRANDE;EE GENERAL MALAN;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;vendedora de shopping;1
CAMPO GRANDE;EE PROFª. FLAVINA MARIA DA SILVA;Estudantes;2018;Possui computador em casa;Não;71
NAVIRAÍ;EE ANTONIO FERNANDES;Professores;2018;Você se considera;Branco;39
ANASTÁCIO;EE DEP. CARLOS SOUZA MEDEIROS;Estudantes;2018;Sexo;Masculino;83
ANASTÁCIO;EE ROBERTO SCAFF;Professores;2018;Idade;46 a 50 anos;8
PEDRO GOMES;EE FRANCISCO RIBEIRO SOARES;Diretores;2018;Exerce esta função;De 1 a 3 anos;1
NIOAQUE;EE UIRAPURU;Coordenadores Pedagógicos;2018;Formação;Ensino Superior;1
PARANAÍBA;EE MANOEL GARCIA LEAL;Funcionários Administrativos;2018;Sexo;Feminino;18
CASSILÂNDIA;EE SÃO JOSÉ;Pais ou Responsáveis;2018;Formação;Ensino Médio;43
DOURADOS;EE JOAQUIM VAZ DE OLIVEIRA;Coordenadores Pedagógicos;2018;Você se considera;Pardo;1
CAMPO GRANDE;EE PROFª BRASILINA FERRAZ MANTERO;Funcionários Administrativos;2018;Trabalha nesta escola;De 1 a 3 anos;2
CAMPO GRANDE;EE JOÃO CARLOS FLORES;Coordenadores Pedagógicos;2018;Exerce esta função;Há menos de um ano;1
RIO VERDE DE MATO GROSSO;EE THOMAZ BARBOSA RANGEL;Professores;2018;Trabalha nesta escola;De 1 a 3 anos;7
ANASTÁCIO;EE MARIA CORRÊA DIAS;Pais ou Responsáveis;2018;Tempo que disponibiliza por dia para estudar com o estudante pelo qual você é responsável;De 3 a 4 horas;4
TRÊS LAGOAS;EE PROFESSOR JOÃO MAGIANO PINTO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;auxiliar de limpeza;1
TRÊS LAGOAS;EE PADRE JOÃO TOMES;Avaliadores externos;2018;Informe sua regional;CRE-12 - Três Lagoas;1
CAMPO GRANDE;EE PROFª. FLAVINA MARIA DA SILVA;Diretores;2018;Pós-Graduação;Especialização;1
LADÁRIO;EE 2 DE SETEMBRO;Estudantes;2018;Ano escolar;3º ano do Ensino Médio;37
MARACAJU;EE PADRE CONSTANTINO DE MONTE;Funcionários Administrativos;2018;Informe qual função exerce nessa unidade escolar;Agentes de atividades educacionais;2
DOURADOS;EE PROF. JOSÉ PEREIRA LINS;Funcionários Administrativos;2018;Formação;Ensino Médio;6
LADÁRIO;EE 2 DE SETEMBRO;Secretários Escolares;2018;Idade;25 a 30 anos;1
TRÊS LAGOAS;EE PROFESSOR JOÃO MAGIANO PINTO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;atendente;1
NAVIRAÍ;EE VINÍCIUS DE MORAES;Professores;2018;Idade;Mais de 50 anos;7
DOIS IRMÃOS DO BURITI;EE ESTEFANA CENTURION GAMBARRA;Diretores Adjuntos;2018;Você se considera;Branco;1
NOVA ANDRADINA;EE PROFESSORA FÁTIMA GAIOTTO SAMPAIO;Coordenadores Pedagógicos;2018;Graduação;Licenciatura;3
MIRANDA;EE INDÍGENA CACIQUE TIMÓTEO;Avaliadores externos;2018;Idade;46 a 50 anos;1
CAMPO GRANDE;EE PROFª. FLAVINA MARIA DA SILVA;Professores;2018;Você leciona em;Três escolas;6
TRÊS LAGOAS;EE PROFESSOR JOÃO MAGIANO PINTO;Coordenadores Técnicos;2018;Você se considera;Branco;2
TRÊS LAGOAS;EE PADRE JOÃO TOMES;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Professora;1
CAMPO GRANDE;EE DOLOR FERREIRA DE ANDRADE;Coordenadores Pedagógicos;2018;Licenciatura;Pedagogia;1
PARANAÍBA;EE ARACILDA CÍCERO CORRÊA DA COSTA;Funcionários Administrativos;2018;Você se considera;Branco;12
PONTA PORÃ;EE MENDES GONÇALVES;Estudantes;2018;Estuda nesta escola;Há mais de 8 anos;14
CAMPO GRANDE;EE PROFª BRASILINA FERRAZ MANTERO;Pais ou Responsáveis;2018;Sexo;Feminino;52
CAMPO GRANDE;EE LINO VILLACHA;Estudantes;2018;Ano escolar;7º ano do Ensino Fundamental;10
CAMPO GRANDE;EE PROF. EMYGDIO CAMPOS WIDAL;Professores;2018;Idade;46 a 50 anos;3
INOCÊNCIA;EE  PROF. JOÃO PEREIRA VALIM;Diretores Adjuntos;2018;Idade;36 a 40 anos;1
MARACAJU;EE MANOEL FERREIRA DE LIMA;Pais ou Responsáveis;2018;Grau de parentesco com o estudante pelo qual você é responsável;Afilhado(a);2
CAMPO GRANDE;EE PROFª ALICE NUNES ZAMPIERE;Funcionários Administrativos;2018;Informe qual função exerce nessa unidade escolar;Agentes de atividades educacionais;2
PONTA PORÃ;EE DR MIGUEL MARCONDES ARMANDO;Secretários Escolares;2018;Idade;41 a 45 anos;1
CAMPO GRANDE;EE PROFª. ÉLIA FRANÇA CARDOSO;Funcionários Administrativos;2018;Informe qual função exerce nessa unidade escolar;Agente de limpeza;7
CAMPO GRANDE;EE PROFª ALICE NUNES ZAMPIERE;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;infermeira;1
CORUMBÁ;EE CARLOS DE CASTRO BRASIL;Coordenadores Pedagógicos;2018;Idade;Mais de 50 anos;2
DOURADOS;EE RAMONA DA SILVA PEDROSO;Professores;2018;Pós-Graduação;Especialização;31
NAVIRAÍ;EE EURICO GASPAR DUTRA;Estudantes;2018;Idade;16 a 20 anos;189
NOVA ANDRADINA;EEPROFª NAIR PALÁCIO DE SOUZA;Estudantes;2018;Você se considera;Pardo;118
CAMPO GRANDE;EE LUISA VIDAL BORGES DANIEL;Funcionários Administrativos;2018;Você se considera;Pardo;4
CAMPO GRANDE;EE RIACHUELO;Pais ou Responsáveis;2018;Você se considera;Preto;1
ANASTÁCIO;EE MARIA CORRÊA DIAS;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;empreendedora;1
VICENTINA;EE PADRE JOSÉ DANIEL;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;auxiliar de limpeza;1
CAMPO GRANDE;EE PROFª BRASILINA FERRAZ MANTERO;Avaliadores externos;2018;Sexo;Feminino;1
CAMPO GRANDE;CEEJA - PROFª IGNÊS DE LAMÔNICA GUIMARÃES - MS;Funcionários Administrativos;2018;Idade;Mais de 50 anos;4
SIDROLÂNDIA;EE PROFESSORA CATARINA DE ABREU;Estudantes;2018;Ano escolar;9º ano do Ensino Fundamental;39
PARANAÍBA;EE ARACILDA CÍCERO CORRÊA DA COSTA;Funcionários Administrativos;2018;Formação;Ensino Superior (Incompleto);2
CAMPO GRANDE;EE VESPASIANO MARTINS;Professores;2018;Sexo;Masculino;14
CAMPO GRANDE;EE PROFª. CLARINDA MENDES DE AQUINO;Funcionários Administrativos;2018;Formação;Ensino Médio;13
CAMPO GRANDE;EE ANTÔNIO DELFINO PEREIRA;Professores;2018;Você é professor;Convocado;25
FÁTIMA DO SUL;EE VILA BRASIL;Professores;2018;Você se considera;Preto;5
DOIS IRMÃOS DO BURITI;EE ESTEFANA CENTURION GAMBARRA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;TRABALHADOR RURAL;1
GLÓRIA DE DOURADOS;EE HILDA BERGO DUARTE;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;mecãnico agricula;1
NIOAQUE;EE UIRAPURU;Pais ou Responsáveis;2018;Idade;41 a 45 anos;3
AQUIDAUANA;EE CEL. JOSÉ ALVES RIBEIRO;Estudantes;2018;Ano escolar;EJA - Ensino Fundamental;1
IGUATEMI;EE 8 DE MAIO;Pais ou Responsáveis;2018;Exerce alguma atividade remunerada;Sim;82
TRÊS LAGOAS;EE EDWARDS CORRÊA E SOUZA;Estudantes;2018;Idade;16 a 20 anos;130
ANGÉLICA;EE SENADOR FILINTO MULLER;Estudantes;2018;Ano escolar;8º ano do Ensino Fundamental;49
CAMPO GRANDE;EE WALDEMIR BARROS DA SILVA;Professores;2018;Pós-Graduação;Mestrado;9
RIO BRILHANTE;EE FERNANDO CORRÊA DA COSTA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;.;5
CAMPO GRANDE;EE ELVIRA MATHIAS DE OLIVEIRA;Funcionários Administrativos;2018;Exerce esta função;De 1 a 3 anos;4
SIDROLÂNDIA;EE PROFESSORA CATARINA DE ABREU;Avaliadores externos;2018;Idade;Mais de 50 anos;1
RIO BRILHANTE;EE PROFESSORA LIGIA TEREZINHA MARTINS;Secretários Escolares;2018;Trabalha nesta escola;Há mais de 6 anos;1
CAMPO GRANDE;EE DONA CONSUELO MÜLLER;Coordenadores Pedagógicos;2018;Licenciatura;Ciências Biológicas;2
DOURADOS;EE MARIA DA GLÓRIA MUZZI FERREIRA;Funcionários Administrativos;2018;Trabalha nesta escola;De 4 a 6 anos;1
CAARAPÓ;EE PROF.ª CLEUZA APARECIDA VARGAS GALHARDO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;contabilidade;1
MARACAJU;EE PADRE CONSTANTINO DE MONTE;Pais ou Responsáveis;2018;Tempo que disponibiliza por dia para estudar com o estudante pelo qual você é responsável;De 1 a 2 horas;23
ANASTÁCIO;EE INDÍGENA GUILHERMINA DA SILVA;Professores;2018;Idade;31 a 35 anos;6
BONITO;EE BONIFÁCIO CAMARGO GOMES;Coordenadores Pedagógicos;2018;Exerce esta função;De 1 a 3 anos;2
CAMPO GRANDE;EE PROFª. FLAVINA MARIA DA SILVA;Funcionários Administrativos;2018;Idade;46 a 50 anos;4
CAMPO GRANDE;EE PROF. OTAVIANO GONÇALVES DA SILVEIRA JUNIOR;Pais ou Responsáveis;2018;Você se considera;Indígena;8
NAVIRAÍ;EE EURICO GASPAR DUTRA;Funcionários Administrativos;2018;Trabalha nesta escola;Há menos de um ano;3
AQUIDAUANA;EE INDÍGENA DE EM PASTOR REGINALDO MIGUEL - HOYENÓ O;Secretários Escolares;2018;Idade;Mais de 50 anos;1
CAMPO GRANDE;EE CORAÇÃO DE MARIA;Professores;2018;Idade;36 a 40 anos;4
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Professores;2018;Exerce esta função;Há menos de um ano;1
RIO BRILHANTE;EE FERNANDO CORRÊA DA COSTA;Pais ou Responsáveis;2018;Grau de parentesco com o estudante pelo qual você é responsável;Sobrinho(a);7
DOURADOS;EE RAMONA DA SILVA PEDROSO;Funcionários Administrativos;2018;Trabalha nesta escola;De 4 a 6 anos;2
TRÊS LAGOAS;EE EDWARDS CORRÊA E SOUZA;Avaliadores externos;2018;Pós-Graduação;Especialização;1
NOVA ALVORADA DO SUL;EE ANTONIO COELHO;Pais ou Responsáveis;2018;Formação;Especialização;3
